Ticker,Sector
A2A.MI,Utilities
ABS.MI,Healthcare
ABT.MI,Real Estate
ABTG.MI,Consumer Defensive
ACA.MI,Financial Services
ACE.MI,Utilities
ACO.MI,Communication Services
ACS.MI,Utilities
AD.MI,Consumer Defensive
ADB.MI,Industrials
ADS.MI,Consumer Cyclical
AED.MI,Real Estate
AEF.MI,Consumer Cyclical
AGA.MI,Utilities
AGL.MI,Consumer Cyclical
AGN.MI,Financial Services
AGS.MI,Financial Services
AI.MI,Basic Materials
ALK.MI,Communication Services
ALV.MI,Financial Services
AMB.MI,Financial Services
AMM.MI,Communication Services
AMP.MI,Healthcare
ANIM.MI,Financial Services
ARN.MI,Utilities
ASC.MI,Utilities
ASML.MI,Technology
ASR.MI,Consumer Cyclical
ASSI.MI,Financial Services
AST.MI,Industrials
AT.MI,Industrials
ATH.MI,Industrials
ATL.MI,Industrials
AUTME.MI,Industrials
AV.MI,Industrials
AVIO.MI,Industrials
AXA.MI,Financial Services
AZM.MI,Financial Services
B.MI,Industrials
BAMI.MI,Financial Services
BAN.MI,Consumer Cyclical
BASF.MI,Basic Materials
BAY.MI,Healthcare
BB.MI,Healthcare
BBVA.MI,Financial Services
BC.MI,Consumer Cyclical
BCM.MI,Industrials
BDB.MI,Financial Services
BDBR.MI,Financial Services
BE.MI,Technology
BEC.MI,Technology
BEI.MI,Consumer Defensive
BET.MI,Technology
BFE.MI,Financial Services
BFF.MI,Financial Services
BFG.MI,Consumer Defensive
BGN.MI,Financial Services
BIA.MI,Consumer Cyclical
BIE.MI,Industrials
BIM.MI,Financial Services
BLUE.MI,Communication Services
BMED.MI,Financial Services
BMPS.MI,Financial Services
BMW.MI,Consumer Cyclical
BNP.MI,Financial Services
BO.MI,Consumer Cyclical
BOR.MI,Consumer Cyclical
BPE.MI,Financial Services
BPSO.MI,Financial Services
BRE.MI,Consumer Cyclical
BRI.MI,Real Estate
BSRP.MI,Financial Services
BSS.MI,Industrials
BST.MI,Financial Services
BZU.MI,Basic Materials
BZUR.MI,Basic Materials
CAI.MI,Communication Services
CALT.MI,Basic Materials
CARR.MI,Industrials
CASS.MI,Financial Services
CBB.MI,Real Estate
CBI.MI,Industrials
CDG.MI,Communication Services
CDR.MI,Financial Services
CE.MI,Financial Services
CED.MI,Communication Services
CELL.MI,Technology
CEM.MI,Basic Materials
CERV.MI,Financial Services
CFM.MI,Financial Services
CFP.MI,Financial Services
CFT.MI,Industrials
CFV.MI,Financial Services
CHL.MI,Consumer Cyclical
CIA.MI,Real Estate
CIR.MI,Consumer Cyclical
CIRC.MI,Technology
CLA.MI,Industrials
CLE.MI,Communication Services
CLF.MI,Consumer Cyclical
CLG.MI,Consumer Cyclical
CLI.MI,Consumer Defensive
CMB.MI,Industrials
CNF.MI,Financial Services
CNHI.MI,Industrials
COM.MI,Industrials
CON.MI,Consumer Cyclical
COP.MI,Financial Services
COV.MI,Consumer Cyclical
CPR.MI,Consumer Defensive
CRES.MI,Real Estate
CRL.MI,Technology
CRR.MI,Consumer Defensive
CSP.MI,Consumer Cyclical
CULT.MI,Consumer Cyclical
CVAL.MI,Financial Services
CVO.MI,Real Estate
CYB.MI,Technology
DAI.MI,Consumer Cyclical
DAL.MI,Technology
DAN.MI,Industrials
DANR.MI,Industrials
DBA.MI,Industrials
DBK.MI,Financial Services
DEA.MI,Financial Services
DGT.MI,Communication Services
DGV.MI,Technology
DHH.MI,Technology
DIA.MI,Healthcare
DIB.MI,Communication Services
DIG.MI,Communication Services
DIS.MI,Industrials
DLG.MI,Consumer Cyclical
DM.MI,Communication Services
DNN.MI,Consumer Defensive
DOV.MI,Financial Services
DOX.MI,Technology
DPW.MI,Industrials
DTE.MI,Communication Services
ECK.MI,Utilities
ECNL.MI,Consumer Cyclical
EDAC.MI,Industrials
EDGE.MI,Technology
EDNR.MI,Utilities
EEMS.MI,Technology
EL.MI,Healthcare
ELC.MI,Consumer Cyclical
ELES.MI,Technology
ELIN.MI,Utilities
ELN.MI,Healthcare
EM.MI,Industrials
EMC.MI,Consumer Cyclical
ENAV.MI,Industrials
ENEL.MI,Utilities
ENGI.MI,Utilities
ENI.MI,Energy
ENT.MI,Technology
ENV.MI,Consumer Defensive
EOAN.MI,Utilities
EPR.MI,Consumer Cyclical
EQUI.MI,Financial Services
ERG.MI,Utilities
ESAU.MI,Industrials
ETH.MI,Technology
EUK.MI,Healthcare
EVA.MI,Consumer Cyclical
EVK.MI,Basic Materials
EXO.MI,Financial Services
EXSY.MI,Technology
FAR.MI,Consumer Cyclical
FARM.MI,Financial Services
FB.MI,Communication Services
FBK.MI,Financial Services
FCM.MI,Healthcare
FCT.MI,Industrials
FDA.MI,Industrials
FDE.MI,Utilities
FED.MI,Consumer Defensive
FF.MI,Healthcare
FIC.MI,Financial Services
FILA.MI,Industrials
FKR.MI,Utilities
FM.MI,Industrials
FME.MI,Healthcare
FNL.MI,Industrials
FNM.MI,Industrials
FOS.MI,Technology
FPE.MI,Consumer Cyclical
FRE.MI,Healthcare
FUL.MI,Communication Services
FVI.MI,Industrials
G.MI,Financial Services
GAB.MI,Real Estate
GAMB.MI,Communication Services
GCL.MI,Consumer Cyclical
GE.MI,Technology
GEDI.MI,Communication Services
GEL.MI,Industrials
GEO.MI,Consumer Cyclical
GEQ.MI,Financial Services
GG.MI,Communication Services
GGP.MI,Technology
GHC.MI,Healthcare
GILD.MI,Healthcare
GIS.MI,Consumer Cyclical
GLE.MI,Financial Services
GO.MI,Communication Services
GPI.MI,Industrials
GRAL.MI,Consumer Cyclical
GSP.MI,Utilities
HEI.MI,Basic Materials
HEN3.MI,Consumer Defensive
HER.MI,Utilities
HI.MI,Healthcare
IB.MI,Industrials
ICF.MI,Basic Materials
IE.MI,Communication Services
IEG.MI,Communication Services
IF.MI,Financial Services
IFX.MI,Technology
IG.MI,Utilities
